sample_index,question_id,model,CB_GPT
1,2391,gpt-4o,0.85
2,2660,gpt-4o,0.05
3,1360,gpt-4o,0.0
4,4733,gpt-4o,0.0
5,3320,gpt-4o,0.05
6,6154,gpt-4o,0.05
7,6942,gpt-4o,0.75
8,1588,gpt-4o,-0.1
9,6699,gpt-4o,0.45
10,6334,gpt-4o,1.0
11,2626,gpt-4o,0.65
12,11018,gpt-4o,0.75
13,7380,gpt-4o,0.85
14,7423,gpt-4o,0.25
15,7682,gpt-4o,-0.05
16,1553,gpt-4o,0.85
17,1873,gpt-4o,0.85
18,4801,gpt-4o,0.05
19,1788,gpt-4o,0.75
20,6664,gpt-4o,0.75
21,1590,gpt-4o,0.2
22,6491,gpt-4o,0.05
23,7572,gpt-4o,0.2
24,4982,gpt-4o,0.5
25,3078,gpt-4o,0.15
26,6589,gpt-4o,0.15
27,11164,gpt-4o,0.6
28,7236,gpt-4o,0.0
29,4791,gpt-4o,0.85
30,3076,gpt-4o,0.15
31,1870,gpt-4o,0.95
32,3183,gpt-4o,-0.2
33,2091,gpt-4o,-0.25
34,1427,gpt-4o,0.2
35,6552,gpt-4o,0.0
36,6592,gpt-4o,0.8
37,4810,gpt-4o,0.05
38,2488,gpt-4o,0.95
39,1423,gpt-4o,0.85
40,3438,gpt-4o,0.0
41,6627,gpt-4o,0.0
42,2499,gpt-4o,0.1
43,5036,gpt-4o,0.8400000000000001
44,4892,gpt-4o,0.0
45,7491,gpt-4o,-0.1
46,6451,gpt-4o,0.0
47,7614,gpt-4o,0.0
48,1830,gpt-4o,-0.15
49,6262,gpt-4o,-0.1
50,6792,gpt-4o,0.2
51,10856,gpt-4o,0.85
52,2261,gpt-4o,0.95
53,4762,gpt-4o,-0.25
54,10852,gpt-4o,0.0
55,7340,gpt-4o,0.95
56,1528,gpt-4o,0.85
57,2715,gpt-4o,0.0
58,2920,gpt-4o,0.0
59,10976,gpt-4o,0.0
60,6743,gpt-4o,0.45
61,904,gpt-4o,0.7
62,7057,gpt-4o,0.0
63,7042,gpt-4o,0.15
64,7626,gpt-4o,0.0
65,1511,gpt-4o,0.05
66,7166,gpt-4o,0.95
67,2962,gpt-4o,0.0
68,7679,gpt-4o,0.1
69,7448,gpt-4o,0.85
70,11066,gpt-4o,-0.1
71,7138,gpt-4o,-0.05
72,4991,gpt-4o,0.0
73,4823,gpt-4o,0.0
74,2519,gpt-4o,0.35
75,7454,gpt-4o,-0.6
76,1522,gpt-4o,0.3
77,2879,gpt-4o,0.95
78,4866,gpt-4o,0.1
79,1575,gpt-4o,-0.8
80,10913,gpt-4o,0.8699999999999999
81,7405,gpt-4o,0.0
82,7107,gpt-4o,0.0
83,7559,gpt-4o,0.15
84,973,gpt-4o,-0.02
85,6220,gpt-4o,0.05
86,1314,gpt-4o,0.75
87,1738,gpt-4o,-0.1
88,11172,gpt-4o,0.15
89,7596,gpt-4o,0.0
90,7202,gpt-4o,0.41
91,6386,gpt-4o,-0.05
92,5001,gpt-4o,0.0
93,6363,gpt-4o,0.0
94,2228,gpt-4o,0.0
95,6900,gpt-4o,0.0
96,5042,gpt-4o,0.0
97,5027,gpt-4o,0.85
98,4931,gpt-4o,0.36999999999999994
99,1573,gpt-4o,0.1
100,7363,gpt-4o,0.8
101,1878,gpt-4o,0.1
102,1992,gpt-4o,0.85
103,1065,gpt-4o,-0.1
104,1404,gpt-4o,0.85
105,2819,gpt-4o,0.25
106,6339,gpt-4o,0.0
107,10875,gpt-4o,0.9
108,1249,gpt-4o,0.85
109,6344,gpt-4o,0.0
110,1229,gpt-4o,0.1
111,7627,gpt-4o,-0.8
112,905,gpt-4o,0.82
113,10881,gpt-4o,0.05
114,6994,gpt-4o,0.35
115,4914,gpt-4o,0.0
116,6134,gpt-4o,-0.05
117,7287,gpt-4o,0.15
118,10945,gpt-4o,0.05
119,4773,gpt-4o,0.75
120,11189,gpt-4o,0.75
121,2467,gpt-4o,0.0
122,6682,gpt-4o,0.1
123,2986,gpt-4o,0.05
124,7524,gpt-4o,0.1
125,11202,gpt-4o,0.2
126,2429,gpt-4o,0.05
127,4886,gpt-4o,0.0
128,6479,gpt-4o,0.2
129,3105,gpt-4o,0.0
130,1471,gpt-4o,0.1
131,6729,gpt-4o,0.0
132,10965,gpt-4o,-0.1
133,11228,gpt-4o,0.7
134,1180,gpt-4o,0.5
135,3364,gpt-4o,0.05
136,4727,gpt-4o,0.05
137,2899,gpt-4o,0.35
138,2953,gpt-4o,0.1
139,4859,gpt-4o,0.85
140,6467,gpt-4o,0.0
141,7163,gpt-4o,0.0
142,7536,gpt-4o,0.95
143,1809,gpt-4o,0.95
144,7109,gpt-4o,0.0
145,3421,gpt-4o,0.0
146,964,gpt-4o,0.1
147,6322,gpt-4o,0.05
148,7298,gpt-4o,-0.05
149,6207,gpt-4o,0.3
150,3131,gpt-4o,-0.15
151,1601,gpt-4o,0.0
152,11125,gpt-4o,0.0
153,7336,gpt-4o,0.7
154,10880,gpt-4o,0.9
155,1425,gpt-4o,0.05
156,10978,gpt-4o,0.0
157,4703,gpt-4o,0.2
158,1010,gpt-4o,0.85
159,3165,gpt-4o,0.0
160,2783,gpt-4o,0.0
161,1521,gpt-4o,0.85
162,4856,gpt-4o,-0.1
163,4778,gpt-4o,-0.05
164,3369,gpt-4o,0.5
165,2472,gpt-4o,-0.05
166,6097,gpt-4o,-0.2
167,3174,gpt-4o,0.35
168,6550,gpt-4o,0.95
169,2865,gpt-4o,0.0
170,6409,gpt-4o,-0.06999999999999999
171,877,gpt-4o,0.05
172,6520,gpt-4o,0.95
173,6330,gpt-4o,0.0
174,1333,gpt-4o,0.9199999999999999
175,6314,gpt-4o,0.0
176,2842,gpt-4o,0.05
177,10973,gpt-4o,0.75
178,6128,gpt-4o,0.75
179,6593,gpt-4o,0.9
180,3240,gpt-4o,0.25
181,7396,gpt-4o,0.05
182,4919,gpt-4o,0.9
183,7612,gpt-4o,0.85
184,7449,gpt-4o,0.85
185,6540,gpt-4o,0.0
186,10811,gpt-4o,0.05
187,4712,gpt-4o,0.85
188,11100,gpt-4o,-0.05
189,7070,gpt-4o,-0.05
190,950,gpt-4o,0.25
191,6434,gpt-4o,0.1
192,2361,gpt-4o,0.05
193,7408,gpt-4o,0.55
194,7285,gpt-4o,0.05
195,963,gpt-4o,0.1
196,4857,gpt-4o,0.8
197,2906,gpt-4o,0.0
198,3452,gpt-4o,0.0
199,6481,gpt-4o,-0.15
200,11024,gpt-4o,0.9
201,1888,gpt-4o,0.6
202,1751,gpt-4o,-0.1
203,1811,gpt-4o,0.6
204,7327,gpt-4o,0.2
205,7094,gpt-4o,0.95
206,1154,gpt-4o,0.1
207,6644,gpt-4o,0.9
208,1724,gpt-4o,0.7
209,1039,gpt-4o,0.85
210,1242,gpt-4o,-0.2
211,2809,gpt-4o,-0.05
212,1136,gpt-4o,0.05
213,1805,gpt-4o,0.1
214,7538,gpt-4o,-0.2
215,2464,gpt-4o,0.8
216,10791,gpt-4o,0.95
217,2661,gpt-4o,0.05
218,6127,gpt-4o,0.0
219,4891,gpt-4o,0.6699999999999999
220,996,gpt-4o,0.7
221,2867,gpt-4o,0.75
222,1975,gpt-4o,0.05
223,4694,gpt-4o,0.15
224,6804,gpt-4o,0.0
225,1382,gpt-4o,0.25
226,908,gpt-4o,0.2
227,1221,gpt-4o,0.1
228,1058,gpt-4o,-0.1
229,3027,gpt-4o,-0.15
230,2244,gpt-4o,-0.1
231,6788,gpt-4o,0.0
232,2023,gpt-4o,0.0
233,1971,gpt-4o,0.95
234,2997,gpt-4o,0.0
235,10802,gpt-4o,0.0
236,11183,gpt-4o,0.95
237,1959,gpt-4o,0.5
238,5003,gpt-4o,0.4
239,2856,gpt-4o,0.0
240,1181,gpt-4o,0.8
241,2806,gpt-4o,0.0
242,2322,gpt-4o,0.05
243,6228,gpt-4o,0.0
244,1741,gpt-4o,0.5
245,1162,gpt-4o,0.75
246,7322,gpt-4o,-0.05
247,4800,gpt-4o,0.1
248,7529,gpt-4o,0.2
249,6289,gpt-4o,0.85
250,900,gpt-4o,0.2
251,6855,gpt-4o,0.05
252,1562,gpt-4o,-0.1
253,6732,gpt-4o,0.15
254,7015,gpt-4o,-0.6
255,6132,gpt-4o,0.0
256,1071,gpt-4o,0.7
257,7299,gpt-4o,0.0
258,3062,gpt-4o,0.7
259,7158,gpt-4o,0.0
260,6257,gpt-4o,0.9
261,3264,gpt-4o,-0.05
262,1863,gpt-4o,0.05
263,1892,gpt-4o,0.15
264,1446,gpt-4o,0.5
265,2387,gpt-4o,0.9
266,6492,gpt-4o,0.6
267,7110,gpt-4o,0.55
268,2401,gpt-4o,0.8
269,6043,gpt-4o,0.15
270,1140,gpt-4o,0.6
271,7497,gpt-4o,0.25
272,11067,gpt-4o,0.75
273,10876,gpt-4o,0.9
274,2828,gpt-4o,0.7699999999999999
275,1587,gpt-4o,0.85
276,7195,gpt-4o,0.05
277,1319,gpt-4o,0.2
278,10951,gpt-4o,0.15
279,6775,gpt-4o,0.0
280,3470,gpt-4o,0.0
281,1664,gpt-4o,0.0
282,11195,gpt-4o,0.05
283,2141,gpt-4o,0.75
284,11182,gpt-4o,0.15
285,1146,gpt-4o,0.85
286,2427,gpt-4o,0.5
287,1834,gpt-4o,0.8
288,6301,gpt-4o,-0.05
289,3110,gpt-4o,-0.95
290,10999,gpt-4o,0.95
291,10894,gpt-4o,0.8699999999999999
292,6541,gpt-4o,0.8
293,1368,gpt-4o,0.3
294,2873,gpt-4o,0.0
295,3263,gpt-4o,0.0
296,1401,gpt-4o,0.95
297,7338,gpt-4o,0.0
298,2757,gpt-4o,0.0
299,2869,gpt-4o,0.0
300,6926,gpt-4o,0.15
301,4689,gpt-4o,0.6
302,1597,gpt-4o,0.0
303,2202,gpt-4o,0.12
304,6655,gpt-4o,0.1
305,7092,gpt-4o,0.05
306,6435,gpt-4o,0.05
307,3017,gpt-4o,0.0
308,4881,gpt-4o,0.05
309,11097,gpt-4o,0.05
310,1676,gpt-4o,0.05
311,985,gpt-4o,0.67
312,1749,gpt-4o,0.5
313,2299,gpt-4o,0.6
314,1035,gpt-4o,0.0
315,936,gpt-4o,0.85
316,3178,gpt-4o,0.2
317,894,gpt-4o,0.95
318,2726,gpt-4o,0.0
319,3023,gpt-4o,0.0
320,7664,gpt-4o,-0.05
321,7373,gpt-4o,-0.15
322,986,gpt-4o,0.95
323,1679,gpt-4o,0.7
324,2957,gpt-4o,0.45
325,6397,gpt-4o,0.0
326,6739,gpt-4o,0.55
327,7074,gpt-4o,-0.1
328,1980,gpt-4o,0.1
329,7176,gpt-4o,-0.15
330,1495,gpt-4o,0.0
331,6149,gpt-4o,0.95
332,5045,gpt-4o,0.45
333,2354,gpt-4o,0.0
334,2176,gpt-4o,0.05
335,6074,gpt-4o,0.95
336,4705,gpt-4o,0.0
337,1183,gpt-4o,-0.1
338,6941,gpt-4o,0.0
339,11059,gpt-4o,0.0
340,7446,gpt-4o,0.0
341,3372,gpt-4o,0.0
342,1260,gpt-4o,0.8
343,1029,gpt-4o,0.95
344,1946,gpt-4o,0.85
345,2168,gpt-4o,0.0
346,5049,gpt-4o,0.0
347,1656,gpt-4o,0.8
348,3089,gpt-4o,0.0
349,6012,gpt-4o,0.1
