sample_index,question_id,model,CB_NLI
1,2391,gpt-4o,0.0058178377102268055
2,2660,gpt-4o,0.0024406823333825226
3,1360,gpt-4o,-0.20736478415511675
4,4733,gpt-4o,-0.26206496533397794
5,3320,gpt-4o,0.15812865923068356
6,6154,gpt-4o,-0.2627373816626094
7,6942,gpt-4o,0.007567644196843517
8,1588,gpt-4o,0.00147452930437557
9,6699,gpt-4o,0.01893178859271824
10,6334,gpt-4o,-0.23743581712132852
11,2626,gpt-4o,0.24449446416897055
12,11018,gpt-4o,-0.18317478383896138
13,7380,gpt-4o,-0.26387689298932554
14,7423,gpt-4o,0.23392854197200008
15,7682,gpt-4o,0.050717543845436544
16,1553,gpt-4o,0.4953635914086259
17,1873,gpt-4o,-0.3809782723139731
18,4801,gpt-4o,0.2159572711238289
19,1788,gpt-4o,0.2529245971167369
20,6664,gpt-4o,0.0007811912635933298
21,1590,gpt-4o,0.16214500745528532
22,6491,gpt-4o,-0.2421241882732082
23,7572,gpt-4o,0.0027214274083351446
24,4982,gpt-4o,0.1725923658705363
25,3078,gpt-4o,0.23786996101262778
26,6589,gpt-4o,-0.21256579631659747
27,11164,gpt-4o,0.35612723375192407
28,7236,gpt-4o,0.30278269725668994
29,4791,gpt-4o,0.23154613854051043
30,3076,gpt-4o,0.34638853351599025
31,1870,gpt-4o,0.5039966909475627
32,3183,gpt-4o,-0.11594683926820404
33,2091,gpt-4o,-0.0005551713446058453
34,1427,gpt-4o,-0.002392214219363706
35,6552,gpt-4o,0.24888284290675214
36,6592,gpt-4o,0.04181512219161825
37,4810,gpt-4o,0.24323335446679595
38,2488,gpt-4o,0.008213821272294097
39,1423,gpt-4o,0.031046373774548712
40,3438,gpt-4o,-0.01417169249201725
41,6627,gpt-4o,0.004620563537581668
42,2499,gpt-4o,0.24715339141923828
43,5036,gpt-4o,0.006373317196441467
44,4892,gpt-4o,0.23118123931037549
45,7491,gpt-4o,-6.707466481238887e-05
46,6451,gpt-4o,-0.23210165769713853
47,7614,gpt-4o,0.1757000200182587
48,1830,gpt-4o,-0.48253591319903605
49,6262,gpt-4o,-0.0012980419151240167
50,6792,gpt-4o,0.11040092788832928
51,10856,gpt-4o,-0.00881699798694933
52,2261,gpt-4o,0.0001289823501499779
53,4762,gpt-4o,-0.0016603518380210768
54,10852,gpt-4o,0.018110941463740544
55,7340,gpt-4o,0.0312841065613573
56,1528,gpt-4o,0.00012804909800419372
57,2715,gpt-4o,-0.14566435457719942
58,2920,gpt-4o,0.24390307327538918
59,10976,gpt-4o,0.2403274241259082
60,6743,gpt-4o,0.41907616229453626
61,904,gpt-4o,0.09587449614352808
62,7057,gpt-4o,-0.24452433096486323
63,7042,gpt-4o,-0.7441967689102221
64,7626,gpt-4o,0.24621519891980717
65,1511,gpt-4o,-0.23489282203200432
66,7166,gpt-4o,0.24903071889192457
67,2962,gpt-4o,-0.420111709140532
68,7679,gpt-4o,-0.00027080236280809786
69,7448,gpt-4o,0.26084080693316497
70,11066,gpt-4o,-0.006677266787212687
71,7138,gpt-4o,-0.4107010952809884
72,4991,gpt-4o,-0.0008661339329873108
73,4823,gpt-4o,0.23891942924757376
74,2519,gpt-4o,0.24144382884293583
75,7454,gpt-4o,0.33175582729610315
76,1522,gpt-4o,0.002301504073988288
77,2879,gpt-4o,0.05601288206991322
78,4866,gpt-4o,0.24344995791629057
79,1575,gpt-4o,0.7360544150722328
80,10913,gpt-4o,0.24673370764679645
81,7405,gpt-4o,0.13989189633765634
82,7107,gpt-4o,-0.0006482125334090103
83,7559,gpt-4o,0.24798063544526724
84,973,gpt-4o,-0.4168589790187598
85,6220,gpt-4o,0.23479101604048128
86,1314,gpt-4o,0.7020604058072815
87,1738,gpt-4o,0.12891352582260235
88,11172,gpt-4o,0.24441668294970414
89,7596,gpt-4o,0.4134257182242137
90,7202,gpt-4o,0.2310795753402961
91,6386,gpt-4o,0.4822969705922346
92,5001,gpt-4o,-0.5012028003306164
93,6363,gpt-4o,0.48153586444495244
94,2228,gpt-4o,0.23423643176440254
95,6900,gpt-4o,0.0015081554236865413
96,5042,gpt-4o,-0.00029979900072213574
97,5027,gpt-4o,0.26532931978615354
98,4931,gpt-4o,0.18358006039316205
99,1573,gpt-4o,0.05673413862082488
100,7363,gpt-4o,0.15441996313976672
101,1878,gpt-4o,0.2853127368632842
102,1992,gpt-4o,0.0017936943816256638
103,1065,gpt-4o,-0.003798370351430167
104,1404,gpt-4o,0.6024575907215894
105,2819,gpt-4o,0.5027676193140417
106,6339,gpt-4o,0.2441000139136015
107,10875,gpt-4o,0.0016388619363602104
108,1249,gpt-4o,-0.00861127418237176
109,6344,gpt-4o,0.1886470102697465
110,1229,gpt-4o,0.43807290451713365
111,7627,gpt-4o,0.2644074283027322
112,905,gpt-4o,0.08129156897172214
113,10881,gpt-4o,-0.23285495106028492
114,6994,gpt-4o,0.33009105722123727
115,4914,gpt-4o,0.3370861909378429
116,6134,gpt-4o,-0.037133783738973025
117,7287,gpt-4o,0.24914221234051512
118,10945,gpt-4o,-0.09251600496806536
119,4773,gpt-4o,0.0005333947127766218
120,11189,gpt-4o,0.006698878635802366
121,2467,gpt-4o,0.24569916428883726
122,6682,gpt-4o,-0.7472070292709612
123,2986,gpt-4o,0.0011018067873619349
124,7524,gpt-4o,0.24671914184492452
125,11202,gpt-4o,0.012653404558084565
126,2429,gpt-4o,-0.131913998780748
127,4886,gpt-4o,0.2374677136472694
128,6479,gpt-4o,2.863341047920024e-05
129,3105,gpt-4o,-0.00178355465168838
130,1471,gpt-4o,-0.21020789816853716
131,6729,gpt-4o,-0.4888873350052975
132,10965,gpt-4o,0.15293816272379412
133,11228,gpt-4o,-0.03410363489885693
134,1180,gpt-4o,0.2579110221300403
135,3364,gpt-4o,-0.0010062936038417992
136,4727,gpt-4o,-0.012836522977259686
137,2899,gpt-4o,0.6320690967162325
138,2953,gpt-4o,-0.18909872607343164
139,4859,gpt-4o,0.49180068499702245
140,6467,gpt-4o,0.024668432371531355
141,7163,gpt-4o,-0.2440087768189834
142,7536,gpt-4o,0.003941057030044866
143,1809,gpt-4o,0.2657521427415904
144,7109,gpt-4o,0.0007731869701175648
145,3421,gpt-4o,-0.25252676650181693
146,964,gpt-4o,-0.037689063119931865
147,6322,gpt-4o,-0.10789004146932596
148,7298,gpt-4o,0.0057807742998693176
149,6207,gpt-4o,-0.0016565420683138732
150,3131,gpt-4o,-0.07843081967767712
151,1601,gpt-4o,0.24680643890845844
152,11125,gpt-4o,0.08839798408219887
153,7336,gpt-4o,-0.004352825823809969
154,10880,gpt-4o,0.4881144581326884
155,1425,gpt-4o,0.24431406431217367
156,10978,gpt-4o,-0.1175273114558531
157,4703,gpt-4o,-0.23871246075517827
158,1010,gpt-4o,0.12592891378884713
159,3165,gpt-4o,0.03573748472282319
160,2783,gpt-4o,0.009063097675505375
161,1521,gpt-4o,0.0018475051864628275
162,4856,gpt-4o,0.24827000380685987
163,4778,gpt-4o,-0.2287730659469945
164,3369,gpt-4o,0.24661945524376852
165,2472,gpt-4o,0.010505129538884765
166,6097,gpt-4o,-8.987963101650398e-05
167,3174,gpt-4o,-0.004145940196064062
168,6550,gpt-4o,-0.006009288836018324
169,2865,gpt-4o,-0.2486683110423428
170,6409,gpt-4o,0.1203873867285066
171,877,gpt-4o,0.06040157687888334
172,6520,gpt-4o,0.06539088728074774
173,6330,gpt-4o,0.24725865434390848
174,1333,gpt-4o,-0.1610697866105627
175,6314,gpt-4o,0.19954519592359604
176,2842,gpt-4o,-0.018159564112087745
177,10973,gpt-4o,0.21325339075825905
178,6128,gpt-4o,0.0018635087622014385
179,6593,gpt-4o,0.11722315710018734
180,3240,gpt-4o,-0.006958137410180774
181,7396,gpt-4o,0.020631211836935316
182,4919,gpt-4o,0.14699325657075446
183,7612,gpt-4o,-0.0025269129528662617
184,7449,gpt-4o,0.49498916623623085
185,6540,gpt-4o,-0.014501892790667235
186,10811,gpt-4o,0.45907764323447176
187,4712,gpt-4o,0.0017688533478549275
188,11100,gpt-4o,0.013682246393284386
189,7070,gpt-4o,0.24709326955068137
190,950,gpt-4o,0.4096437133293885
191,6434,gpt-4o,-0.06738862767895232
192,2361,gpt-4o,0.2460792728287963
193,7408,gpt-4o,0.24888168949709577
194,7285,gpt-4o,0.2552760165786413
195,963,gpt-4o,-0.2502738103785075
196,4857,gpt-4o,0.24616808889999336
197,2906,gpt-4o,-0.24470715771373408
198,3452,gpt-4o,0.23815646880459826
199,6481,gpt-4o,0.1525245607264581
200,11024,gpt-4o,0.19002750814524183
201,1888,gpt-4o,-0.02446939350841508
202,1751,gpt-4o,0.1580830459726864
203,1811,gpt-4o,0.10711381136119177
204,7327,gpt-4o,0.09991868674542831
205,7094,gpt-4o,0.025645014060987823
206,1154,gpt-4o,0.2461607830717092
207,6644,gpt-4o,0.02681418340946562
208,1724,gpt-4o,0.0974473487962343
209,1039,gpt-4o,0.22185194894069143
210,1242,gpt-4o,-0.13933661635133343
211,2809,gpt-4o,-0.47425955842245326
212,1136,gpt-4o,-0.2525085972563805
213,1805,gpt-4o,0.2078809742427847
214,7538,gpt-4o,0.24585283150662043
215,2464,gpt-4o,0.0012597551872884044
216,10791,gpt-4o,-0.014126834196259054
217,2661,gpt-4o,0.0028068484377187196
218,6127,gpt-4o,0.22668272582128793
219,4891,gpt-4o,0.2488426509441468
220,996,gpt-4o,-0.02501818166276737
221,2867,gpt-4o,0.23989355589585845
222,1975,gpt-4o,0.202086121814051
223,4694,gpt-4o,-0.47295637740113405
224,6804,gpt-4o,-0.11269036831649318
225,1382,gpt-4o,0.2530676127486705
226,908,gpt-4o,0.15114643867547176
227,1221,gpt-4o,-0.24949644435968707
228,1058,gpt-4o,-0.2496297957180226
229,3027,gpt-4o,-0.002609638117762575
230,2244,gpt-4o,0.21833391007080818
231,6788,gpt-4o,0.2418324985256564
232,2023,gpt-4o,-0.48840929801345506
233,1971,gpt-4o,0.9110260330785003
234,2997,gpt-4o,0.0028279082193118357
235,10802,gpt-4o,0.24790754024286946
236,11183,gpt-4o,0.24773941801247037
237,1959,gpt-4o,0.006536350091169014
238,5003,gpt-4o,0.11417681656778093
239,2856,gpt-4o,0.13180114018202885
240,1181,gpt-4o,0.050833881866846696
241,2806,gpt-4o,-0.011645789355472893
242,2322,gpt-4o,0.468620752912984
243,6228,gpt-4o,-0.20121230859140896
244,1741,gpt-4o,0.0014629622457086847
245,1162,gpt-4o,-0.2227384127143399
246,7322,gpt-4o,-0.18271158170996393
247,4800,gpt-4o,-0.21665407517349647
248,7529,gpt-4o,0.09566027594446148
249,6289,gpt-4o,0.3413109951069958
250,900,gpt-4o,-0.4858498231406101
251,6855,gpt-4o,-0.022812830856064323
252,1562,gpt-4o,-0.23865844361971647
253,6732,gpt-4o,0.1131402453386659
254,7015,gpt-4o,0.03142082965854393
255,6132,gpt-4o,0.0002871552716092304
256,1071,gpt-4o,0.03073189523605678
257,7299,gpt-4o,0.24226171722192183
258,3062,gpt-4o,0.8669895453315518
259,7158,gpt-4o,-0.1876429093356598
260,6257,gpt-4o,0.7211165115196749
261,3264,gpt-4o,0.044363899273429735
262,1863,gpt-4o,0.024009451030067352
263,1892,gpt-4o,0.19108877097065402
264,1446,gpt-4o,0.2583502333736435
265,2387,gpt-4o,0.23203226967752053
266,6492,gpt-4o,-0.24755537207906486
267,7110,gpt-4o,-0.05563809753219562
268,2401,gpt-4o,0.011310436269661009
269,6043,gpt-4o,0.09775709005663599
270,1140,gpt-4o,0.23782316270025364
271,7497,gpt-4o,0.0004974479460502456
272,11067,gpt-4o,0.3253526848282089
273,10876,gpt-4o,0.01302907996344421
274,2828,gpt-4o,-0.11852135156512315
275,1587,gpt-4o,0.0002802714143139459
276,7195,gpt-4o,-0.017047096118636047
277,1319,gpt-4o,0.43448934640445547
278,10951,gpt-4o,0.048665916863334435
279,6775,gpt-4o,0.07438681382490048
280,3470,gpt-4o,-0.0034576921437382588
281,1664,gpt-4o,-0.0172955515257332
282,11195,gpt-4o,0.04783813407312981
283,2141,gpt-4o,0.19400620829588325
284,11182,gpt-4o,-0.12020347792485306
285,1146,gpt-4o,0.0033568321403462265
286,2427,gpt-4o,0.24716609607900855
287,1834,gpt-4o,0.004406915563616486
288,6301,gpt-4o,0.1212618033689786
289,3110,gpt-4o,0.2302627854601243
290,10999,gpt-4o,0.24804756648286144
291,10894,gpt-4o,-0.46054165899981325
292,6541,gpt-4o,0.2395557765419763
293,1368,gpt-4o,-0.04001770022156148
294,2873,gpt-4o,0.25034999791379464
295,3263,gpt-4o,0.2691853936481633
296,1401,gpt-4o,0.2411392402814126
297,7338,gpt-4o,0.1961826592105783
298,2757,gpt-4o,-0.3684054152191796
299,2869,gpt-4o,-0.5354079024828737
300,6926,gpt-4o,-0.010579847577009782
301,4689,gpt-4o,0.24618755816284815
302,1597,gpt-4o,0.006173372644918953
303,2202,gpt-4o,-0.00938516810865958
304,6655,gpt-4o,0.24299975874241855
305,7092,gpt-4o,-0.0002751195560213982
306,6435,gpt-4o,0.0023320622490989335
307,3017,gpt-4o,-0.3565683843827573
308,4881,gpt-4o,-0.36096369904177655
309,11097,gpt-4o,0.0020239180778354685
310,1676,gpt-4o,0.00842883877725736
311,985,gpt-4o,0.15455792555738562
312,1749,gpt-4o,-0.4212422020902068
313,2299,gpt-4o,0.40883732725452826
314,1035,gpt-4o,-0.2419940220290075
315,936,gpt-4o,0.49864398016875183
316,3178,gpt-4o,0.24203458925079943
317,894,gpt-4o,0.48249558461166997
318,2726,gpt-4o,-0.00914610363451202
319,3023,gpt-4o,-0.037282822407158675
320,7664,gpt-4o,-0.22361264655825297
321,7373,gpt-4o,0.0019282341227831374
322,986,gpt-4o,-0.2243086820659077
323,1679,gpt-4o,0.02704214008955127
324,2957,gpt-4o,0.49549410135526595
325,6397,gpt-4o,0.0018206557184929277
326,6739,gpt-4o,0.06472802167657062
327,7074,gpt-4o,0.2478336500410068
328,1980,gpt-4o,0.001403469856169242
329,7176,gpt-4o,0.3659523288437382
330,1495,gpt-4o,-0.2549951930252706
331,6149,gpt-4o,0.19113057486449758
332,5045,gpt-4o,-0.002810241826742754
333,2354,gpt-4o,0.1821327730113703
334,2176,gpt-4o,0.15733879877968843
335,6074,gpt-4o,0.002504006407126046
336,4705,gpt-4o,-0.06818119541336179
337,1183,gpt-4o,0.03620188966918598
338,6941,gpt-4o,0.0011289708461750814
339,11059,gpt-4o,-0.006790888507688618
340,7446,gpt-4o,0.0038033929172419127
341,3372,gpt-4o,-0.7179673873249622
342,1260,gpt-4o,0.006486879524342784
343,1029,gpt-4o,0.564273166172673
344,1946,gpt-4o,0.015362614112706053
345,2168,gpt-4o,0.19884209766595187
346,5049,gpt-4o,-0.044377224440389
347,1656,gpt-4o,-0.0027170041399782498
348,3089,gpt-4o,-0.008946694130449157
349,6012,gpt-4o,-0.14663257935217952
350,2036,gpt-4o,0.48273580940776484
351,7560,gpt-4o,-0.0016854907073472758
352,11065,gpt-4o,0.2495232706375416
353,7240,gpt-4o,0.2253433352530766
354,2544,gpt-4o,-0.005962237499410968
355,1649,gpt-4o,0.3327328049885871
356,6861,gpt-4o,-0.0029809534492205034
357,2421,gpt-4o,0.051167204810778466
358,4669,gpt-4o,0.00014522857085947884
359,3435,gpt-4o,-0.0005413376253189106
360,7355,gpt-4o,0.2489419951776964
361,7257,gpt-4o,-0.008878019502890848
362,7153,gpt-4o,0.13730403110451755
363,11019,gpt-4o,0.39120086326662595
364,7397,gpt-4o,0.04077797805297458
365,7640,gpt-4o,-0.08396667501439205
366,11212,gpt-4o,0.20229648395965472
